state,city,neighborhood,street,price,area,rooms,bathrooms,garage,number,done,furnished,type
3,9,61,471,1100000.0,203.0,3.0,3.0,2.0,61.0,2,0,5
3,9,23,341,630000.0,57.0,1.0,1.0,1.0,,2,0,0
3,9,23,341,630000.0,57.0,1.0,1.0,1.0,,2,0,0
3,9,5,437,399000.0,74.0,3.0,1.0,1.0,,2,0,0
3,9,19,775,250000.0,53.0,2.0,1.0,1.0,,2,0,0
3,9,21,404,950000.0,140.0,3.0,3.0,1.0,246.0,2,0,0
3,9,58,349,780000.0,100.0,3.0,2.0,1.0,170.0,2,0,0
3,9,19,113,230000.0,65.0,2.0,1.0,1.0,,2,0,0
3,9,19,49,320000.0,69.0,2.0,2.0,1.0,,2,0,0
3,9,7,328,370000.0,90.0,3.0,1.0,1.0,,2,0,0
3,9,21,56,740000.0,120.0,3.0,3.0,1.0,132.0,2,0,0
3,9,60,72,720000.0,95.0,3.0,5.0,2.0,224.0,2,0,2
3,9,21,504,850000.0,108.0,3.0,3.0,1.0,93.0,2,0,0
3,9,19,775,185000.0,71.0,1.0,1.0,1.0,,2,0,0
3,9,58,519,550000.0,90.0,3.0,1.0,1.0,171.0,2,0,0
3,9,58,576,480000.0,90.0,3.0,1.0,2.0,282.0,2,0,0
3,9,19,680,180000.0,55.0,2.0,1.0,1.0,,2,0,0
3,9,58,822,350000.0,60.0,2.0,2.0,1.0,20.0,2,0,0
3,9,58,576,558020.0,70.0,2.0,2.0,1.0,100.0,2,0,0
3,9,14,380,2400000.0,173.0,4.0,6.0,3.0,,2,0,0
3,9,63,823,349000.0,59.0,2.0,2.0,1.0,,2,0,0
3,9,39,55,1430000.0,206.0,3.0,3.0,2.0,78.0,2,0,1
3,9,7,328,269000.0,50.0,2.0,1.0,1.0,280.0,2,0,0
3,9,58,271,350000.0,60.0,2.0,1.0,1.0,,2,0,0
3,9,58,271,295000.0,60.0,2.0,1.0,1.0,,2,0,0
3,9,31,172,330000.0,70.0,2.0,2.0,1.0,,2,0,0
3,9,19,680,200000.0,57.0,2.0,1.0,1.0,145.0,2,0,0
3,9,19,358,320000.0,90.0,2.0,2.0,1.0,18.0,2,0,0
3,9,36,82,250000.0,67.0,2.0,1.0,1.0,1251.0,2,0,0
3,9,19,578,290000.0,55.0,2.0,1.0,1.0,,2,0,0
3,9,58,644,610000.0,65.0,2.0,1.0,1.0,,2,0,0
3,9,13,635,420000.0,67.0,2.0,2.0,1.0,1.0,2,0,0
3,9,21,496,730000.0,70.0,2.0,2.0,1.0,485.0,2,0,0
3,9,7,616,700000.0,180.0,3.0,2.0,3.0,87.0,2,0,2
3,9,19,103,220000.0,55.0,2.0,1.0,1.0,145.0,2,0,0
3,9,13,59,270000.0,52.0,1.0,1.0,1.0,51.0,2,0,0
3,9,42,52,600000.0,236.0,4.0,2.0,2.0,1143.0,2,0,2
3,9,21,206,1050000.0,145.0,3.0,1.0,2.0,,2,0,0
3,9,42,773,640000.0,119.0,3.0,3.0,1.0,55.0,2,0,1
3,9,19,49,265000.0,78.0,2.0,1.0,1.0,366.0,2,0,0
3,9,13,233,198000.0,38.0,1.0,1.0,1.0,184.0,2,0,20
3,9,64,86,550000.0,150.0,3.0,2.0,2.0,520.0,2,0,2
3,9,63,715,187000.0,26.0,1.0,1.0,1.0,108.0,1,0,0
3,9,21,134,65.0,65.0,2.0,1.0,2.0,180.0,2,0,0
3,9,21,56,,55.0,1.0,2.0,1.0,86.0,0,0,0
3,9,21,342,770000.0,87.0,2.0,3.0,1.0,155.0,2,0,0
3,9,21,38,2200000.0,155.0,3.0,4.0,1.0,227.0,2,0,0
3,9,50,472,890000.0,132.0,3.0,5.0,2.0,112.0,2,0,1
3,9,19,503,200000.0,58.0,2.0,1.0,1.0,,2,0,0
3,9,19,10,275000.0,60.0,2.0,1.0,2.0,,2,0,0
3,9,14,323,1300000.0,117.0,3.0,3.0,2.0,22.0,2,0,0
3,9,21,353,795000.0,86.0,2.0,2.0,1.0,136.0,2,0,0
3,9,21,11,1700000.0,110.0,4.0,2.0,1.0,26.0,2,0,1
3,9,21,215,1150000.0,150.0,3.0,2.0,1.0,,2,0,0
3,9,5,80,965000.0,180.0,4.0,4.0,2.0,70.0,2,0,1
3,9,19,10,185000.0,60.0,2.0,2.0,1.0,847.0,2,0,0
3,9,7,331,330000.0,60.0,2.0,1.0,1.0,230.0,2,0,0
3,9,42,66,330000.0,57.0,2.0,2.0,1.0,4087.0,2,0,0
3,9,48,797,420000.0,62.0,2.0,1.0,1.0,,2,0,0
3,9,50,641,1250000.0,130.0,2.0,1.0,1.0,170.0,2,0,5
3,9,26,694,650000.0,98.0,4.0,3.0,1.0,,2,0,2
3,9,21,448,780000.0,114.0,3.0,1.0,2.0,243.0,2,0,0
3,9,16,286,550000.0,111.0,3.0,1.0,2.0,10.0,2,0,2
3,9,19,503,200000.0,50.0,2.0,1.0,1.0,0.0,2,0,0
3,9,50,502,1260000.0,91.0,2.0,2.0,2.0,16.0,2,0,0
3,9,23,386,750000.0,85.0,2.0,1.0,2.0,549.0,2,0,0
3,9,21,12,550000.0,70.0,2.0,2.0,1.0,311.0,2,0,0
3,9,26,536,800000.0,118.0,3.0,3.0,2.0,,2,0,2
3,9,21,400,580000.0,153.0,3.0,2.0,1.0,,2,0,0
3,9,50,154,1275000.0,220.0,4.0,4.0,2.0,27.0,2,0,1
3,9,21,53,840000.0,120.0,3.0,2.0,1.0,,2,0,0
3,9,58,576,850000.0,120.0,3.0,2.0,2.0,,2,0,5
3,9,19,10,230000.0,43.0,2.0,1.0,1.0,690.0,2,0,0
3,9,21,12,440000.0,60.0,2.0,2.0,1.0,320.0,2,0,0
3,9,23,620,450000.0,70.0,2.0,2.0,1.0,,2,0,0
3,9,43,309,500000.0,110.0,3.0,2.0,2.0,25.0,2,0,2
3,9,26,489,580000.0,120.0,2.0,3.0,2.0,2.0,2,0,0
3,9,16,286,600000.0,104.0,3.0,1.0,2.0,10.0,2,0,2
3,9,64,86,430000.0,96.0,3.0,3.0,1.0,410.0,2,0,2
3,9,64,86,430000.0,96.0,3.0,3.0,1.0,410.0,2,0,2
3,9,58,333,560000.0,90.0,3.0,2.0,1.0,495.0,2,0,0
3,9,58,333,450000.0,72.0,2.0,2.0,1.0,492.0,2,0,0
3,9,21,12,700000.0,120.0,2.0,1.0,2.0,,2,0,5
3,9,50,290,800000.0,160.0,4.0,1.0,2.0,533.0,2,0,1
3,9,26,683,755000.0,116.0,3.0,2.0,2.0,211.0,2,0,2
3,9,65,663,900000.0,198.0,4.0,3.0,2.0,,2,0,1
3,9,21,448,690000.0,88.0,2.0,2.0,1.0,50.0,2,0,0
3,9,23,776,800000.0,140.0,2.0,3.0,1.0,,2,0,0
3,9,49,260,950000.0,200.0,3.0,2.0,3.0,4701.0,2,0,2
3,9,23,341,590000.0,100.0,3.0,2.0,1.0,126.0,2,0,0
3,9,21,590,635000.0,82.0,2.0,1.0,1.0,112.0,2,0,0
3,9,5,66,540000.0,115.0,3.0,1.0,2.0,,2,0,0
3,9,11,48,,110.0,3.0,1.0,2.0,700.0,0,0,0
3,9,21,642,1729000.0,136.0,4.0,4.0,2.0,333.0,2,0,0
3,9,21,226,790000.0,98.0,2.0,2.0,1.0,263.0,2,0,0
3,9,61,636,840000.0,80.0,3.0,2.0,1.0,1.0,2,0,0
3,9,58,576,319000.0,60.0,2.0,1.0,1.0,395.0,2,0,0
3,9,5,66,540000.0,115.0,3.0,1.0,2.0,,2,0,0
3,9,19,10,295000.0,60.0,2.0,2.0,1.0,,2,0,0
3,9,21,798,1400000.0,193.0,4.0,5.0,2.0,,2,0,0
3,9,58,576,560000.0,70.0,2.0,1.0,1.0,216.0,2,0,0
3,9,5,66,485000.0,78.0,2.0,2.0,1.0,,2,0,0
3,9,21,791,1200000.0,121.0,3.0,4.0,2.0,12.0,2,0,0
3,9,31,172,290000.0,50.0,2.0,1.0,1.0,,2,0,0
3,9,26,675,1190000.0,220.0,4.0,4.0,3.0,1.0,2,0,2
3,9,65,281,590000.0,180.0,3.0,3.0,3.0,1.0,2,0,24
3,9,58,576,250000.0,52.0,2.0,1.0,1.0,335.0,2,0,0
3,9,58,554,184000.0,47.0,2.0,1.0,1.0,542.0,2,0,0
3,9,21,504,1150000.0,140.0,3.0,3.0,2.0,88.0,2,0,0
3,9,50,22,990000.0,175.0,3.0,4.0,2.0,37.0,2,0,1
3,9,71,519,590000.0,97.0,3.0,3.0,1.0,171.0,2,0,0
3,9,21,413,850000.0,112.0,3.0,3.0,2.0,31.0,2,0,0
3,9,58,573,480000.0,75.0,2.0,1.0,1.0,70.0,2,0,0
3,9,61,636,760000.0,90.0,3.0,2.0,1.0,,2,0,0
3,9,23,620,750000.0,110.0,3.0,1.0,2.0,,2,0,0
3,9,21,53,399860.0,68.0,2.0,1.0,1.0,100.0,2,0,0
3,9,58,333,330000.0,68.0,2.0,1.0,1.0,479.0,2,0,0
3,9,26,63,620000.0,150.0,2.0,3.0,3.0,,2,0,1
3,9,21,226,950000.0,120.0,3.0,3.0,1.0,,2,0,0
3,9,21,448,450000.0,110.0,2.0,2.0,1.0,100.0,2,0,0
3,9,58,333,430000.0,80.0,2.0,2.0,1.0,,2,0,0
3,9,50,14,2042000.0,160.0,4.0,3.0,2.0,3394.0,2,0,0
3,9,23,620,475000.0,70.0,2.0,2.0,1.0,35.0,2,0,0
3,9,58,594,650000.0,75.0,2.0,2.0,1.0,46.0,2,0,0
3,9,21,590,1200000.0,115.0,3.0,1.0,1.0,28.0,2,0,0
3,9,21,411,980000.0,120.0,3.0,2.0,1.0,23.0,2,0,0
3,9,21,496,800000.0,110.0,3.0,3.0,1.0,,2,0,0
3,9,68,78,700000.0,170.0,3.0,4.0,2.0,520.0,2,0,2
3,9,19,775,279000.0,55.0,2.0,1.0,1.0,86.0,2,0,0
3,9,23,761,798000.0,135.0,3.0,3.0,1.0,31.0,2,0,0
3,9,21,617,1890000.0,150.0,3.0,2.0,2.0,,2,0,0
3,9,19,10,249420.0,48.0,2.0,1.0,1.0,100.0,2,0,0
3,9,21,353,630000.0,85.0,2.0,2.0,1.0,10.0,2,0,0
3,9,71,519,480000.0,100.0,3.0,2.0,1.0,,2,0,0
3,9,16,762,650000.0,184.0,4.0,1.0,2.0,81.0,2,0,1
3,9,25,555,1350000.0,184.0,3.0,2.0,2.0,813.0,2,0,5
3,9,21,38,1080000.0,78.0,2.0,2.0,1.0,55.0,2,0,0
3,9,21,411,600000.0,82.0,2.0,2.0,1.0,63.0,2,0,0
3,9,50,14,,123.0,3.0,1.0,1.0,2866.0,0,0,0
3,9,21,300,,79.0,1.0,1.0,1.0,9.0,2,0,0
3,9,62,47,575000.0,48.0,1.0,1.0,1.0,5.0,2,0,0
3,9,42,66,930000.0,200.0,3.0,3.0,2.0,100.0,2,0,2
3,9,12,72,360000.0,60.0,2.0,1.0,1.0,2800.0,2,0,0
3,9,58,349,567000.0,67.0,2.0,2.0,1.0,185.0,2,0,0
3,9,58,333,540000.0,116.0,3.0,3.0,2.0,,2,0,0
3,9,19,495,310000.0,70.0,2.0,2.0,1.0,122.0,2,0,0
3,9,23,341,625000.0,120.0,3.0,2.0,1.0,110.0,2,0,0
3,9,5,66,485000.0,78.0,2.0,2.0,1.0,,2,0,0
3,9,58,757,339000.0,65.0,2.0,2.0,1.0,14.0,2,0,0
3,9,49,66,620000.0,120.0,3.0,3.0,1.0,3704.0,2,0,0
3,9,21,275,730000.0,100.0,2.0,3.0,1.0,,2,0,0
3,9,21,791,1200000.0,121.0,3.0,4.0,2.0,12.0,2,0,0
3,9,26,675,1190000.0,220.0,4.0,4.0,3.0,1.0,2,0,2
3,9,23,741,740000.0,77.0,2.0,2.0,1.0,65.0,2,0,0
3,9,58,576,250000.0,52.0,2.0,1.0,1.0,335.0,2,0,0
3,9,58,554,184000.0,47.0,2.0,1.0,1.0,542.0,2,0,0
3,9,49,66,480000.0,59.0,2.0,2.0,1.0,3825.0,2,0,0
3,9,26,393,239000.0,40.0,1.0,1.0,1.0,,2,0,0
3,9,14,323,1280000.0,125.0,3.0,1.0,2.0,22.0,2,0,0
3,9,19,10,255000.0,60.0,2.0,2.0,1.0,,2,0,0
3,9,58,757,900000.0,108.0,3.0,3.0,2.0,60.0,2,0,0
3,9,11,48,1100000.0,143.0,3.0,1.0,2.0,1036.0,2,0,0
3,9,50,459,750000.0,197.0,3.0,1.0,3.0,54.0,2,0,1
3,9,21,799,880000.0,100.0,3.0,2.0,2.0,11.0,2,0,0
3,9,21,558,1850000.0,125.0,4.0,4.0,2.0,127.0,2,0,0
3,9,21,12,600000.0,80.0,2.0,1.0,1.0,655.0,2,0,0
3,9,14,323,1300000.0,117.0,3.0,2.0,2.0,22.0,2,0,0
3,9,58,576,280000.0,59.0,2.0,2.0,1.0,407.0,2,0,0
3,9,19,262,265000.0,69.0,2.0,2.0,1.0,282.0,2,0,0
3,9,49,86,280000.0,50.0,2.0,2.0,1.0,739.0,2,0,0
3,9,21,12,550000.0,45.0,1.0,1.0,1.0,16.0,2,0,0
3,9,58,271,370000.0,72.0,2.0,1.0,1.0,,2,0,0
3,9,16,743,650000.0,140.0,2.0,3.0,1.0,249.0,2,0,5
3,9,7,328,360000.0,70.0,2.0,1.0,1.0,500.0,2,0,0
3,9,65,678,750000.0,225.0,4.0,2.0,2.0,541.0,2,0,1
3,9,58,644,620000.0,66.0,2.0,2.0,1.0,35.0,2,0,0
3,9,21,53,550000.0,66.0,2.0,2.0,1.0,456.0,2,0,0
3,9,21,562,1060000.0,100.0,3.0,2.0,1.0,41.0,2,0,0
3,9,21,496,800000.0,110.0,3.0,3.0,1.0,,2,0,0
3,9,21,558,1660000.0,127.0,3.0,1.0,2.0,,2,0,0
3,9,21,342,1300000.0,110.0,3.0,3.0,2.0,137.0,2,0,0
3,9,21,342,1300000.0,110.0,3.0,3.0,2.0,137.0,2,0,0
3,9,21,38,1080000.0,78.0,2.0,2.0,1.0,55.0,2,0,0
3,9,26,666,1250000.0,220.0,4.0,5.0,2.0,217.0,2,0,1
3,9,11,273,3000000.0,182.0,3.0,3.0,3.0,469.0,2,0,1
3,9,11,273,3000000.0,182.0,3.0,3.0,3.0,469.0,2,0,1
3,9,21,564,842000.0,89.0,2.0,3.0,2.0,,2,0,0
3,9,23,606,760000.0,130.0,3.0,1.0,1.0,,2,0,0
3,9,21,617,1575000.0,124.0,4.0,3.0,1.0,250.0,0,0,0
3,9,21,707,40.0,84.0,2.0,1.0,1.0,40.0,1,0,0
3,9,21,56,720000.0,55.0,1.0,1.0,1.0,56.0,0,0,0
3,9,26,548,1025000.0,212.0,2.0,3.0,1.0,,2,0,2
3,9,65,229,795000.0,120.0,3.0,3.0,2.0,340.0,2,0,1
3,9,23,341,590000.0,100.0,3.0,2.0,1.0,126.0,2,0,0
3,9,50,14,2042000.0,160.0,4.0,3.0,2.0,3394.0,2,0,0
