state,city,neighborhood,street,price,area,rooms,bathrooms,garage,description,url,number,done,furnished,type
RJ,NITEROI,INGA,RUA PRESIDENTE PEDREIRA,420000.0,90,2,2,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-varanda-gourmet-inga-niteroi-90m2-id-2665546063,null,2,0,APARTAMENTO
RJ,NITEROI,FONSECA,RUA ADELINO MARTINS,405000.0,180,4,3,5,null,www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-fonseca-niteroi-180m2-id-2648521238,null,2,0,APARTAMENTO
RJ,NITEROI,FONSECA,RUA ANTONIO SILVA,280000.0,60,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-fonseca-niteroi-60m2-id-2660185918,null,2,0,APARTAMENTO
RJ,NITEROI,INGA,RUA PRESIDENTE PEDREIRA,1700000.0,250,3,3,3,null,www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-mobiliado-inga-niteroi-rj-250m2-id-2680517994,null,2,1,COBERTURA
RJ,NITEROI,PIRATININGA,RUA GEOGRAFO AMORA,3200000.0,270,4,6,5,null,www.zapimoveis.com.br/imovel/venda-casa-de-condominio-4-quartos-mobiliado-piratininga-niteroi-270m2-id-2665924195,501,2,1,CASA DE CONDOMINIO
RJ,NITEROI,PIRATININGA,RUA JAYME BITTENCOURT,5700000.0,350,5,4,2,null,www.zapimoveis.com.br/imovel/venda-casa-5-quartos-com-piscina-camboinhas-niteroi-350m2-id-2576415621,0,2,0,CASA
RJ,NITEROI,ICARAI,RUA MEM DE SA,1400000.0,105,3,1,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-icarai-niteroi-105m2-id-2567813321,127,2,0,APARTAMENTO
RJ,NITEROI,ICARAI,AVENIDA ALMIRANTE ARY PARREIRAS,2890000.0,300,4,4,4,null,www.zapimoveis.com.br/imovel/venda-cobertura-4-quartos-mobiliado-icarai-niteroi-rj-300m2-id-2648804775,null,2,1,COBERTURA
RJ,NITEROI,CENTRO,RUA MARQUES DE PARANA,470000.0,77,2,1,null,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-elevador-centro-niteroi-77m2-id-2658563355,191,2,0,APARTAMENTO
RJ,NITEROI,ITAIPU,RUA SANTO AMARO,590000.0,120,3,1,1,null,www.zapimoveis.com.br/imovel/venda-casa-3-quartos-com-churrasqueira-maravista-niteroi-120m2-id-2639403894,950,2,0,CASA
RJ,NITEROI,BARRETO,TRAVESSA L,300000.0,50,2,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-engenhoca-niteroi-50m2-id-2571915928,null,2,0,APARTAMENTO
RJ,NITEROI,SANTA ROSA,RUA NEWTON PRADO,480000.0,80,2,2,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-cozinha-santa-rosa-niteroi-80m2-id-2688575855,null,2,0,APARTAMENTO
RJ,NITEROI,CENTRO,AVENIDA ERNANI DO AMARAL PEIXOTO,130000.0,31,null,1,null,null,www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-ar-condicionado-centro-niteroi-31m2-id-2578549205,467,2,0,SALA/CONJUNTO
RJ,NITEROI,ICARAI,RUA DOUTOR CARLOS HALFELD,650000.0,80,2,2,2,null,www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-icarai-niteroi-80m2-id-2651290653,124,2,0,APARTAMENTO
RJ,NITEROI,INGA,RUA TIRADENTES,840000.0,120,3,1,1,null,www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-ar-condicionado-inga-niteroi-120m2-id-2640938977,0,2,0,APARTAMENTO
